303,Kung Fu Yoga,WGUSA,"$362,657",27,"$111,979",14,1/27,2/23
304,Disney Junior HalloVeen Party,Fathom,"$359,745",396,N/A,N/A,10/21,10/26
305,Letters from Baghdad,Vita.,"$359,735",20,"$19,725",2,6/2,10/22
306,Ok Jaanu,FIP,"$355,922",121,"$225,968",121,1/13,1/26
307,Long Strange Trip - The Untold Story of The Grateful Dead,Abr.,"$351,957",56,"$33,272",56,5/25,6/1
308,Pearl Jam - Let's Play Two,Abr.,"$348,833",201,"$53,177",5,9/29,10/15
309,Canelo vs. Chavez Jr.,Fathom,"$343,387",273,"$343,387",273,5/6,5/6
310,BOMBSHELL: The Hedy Lamarr Story,Zeit.,"$341,008",19,N/A,N/A,11/24,-
311,This Is Not What I Expected,WGUSA,"$337,670",36,"$135,252",36,5/5,-
312,God's Own Country,Orion,"$334,359",13,"$17,768",2,10/24,-
313,Dunkirk (Re-Issue 12/1),WB,"$327,615",53,"$122,115",53,12/1,12/14
314,Chuck,IFC,"$320,725",120,"$34,565",4,5/5,6/11
315,Obit.,KL,"$315,049",22,N/A,N/A,1/5,8/31
316,Citizen Jane,IFC,"$313,411",25,"$31,451",2,4/21,7/6
317,City of Rock,WGUSA,"$312,537",43,"$115,524",43,10/6,11/16
318,My Life as a Zucchini,GK,"$309,766",53,"$31,853",2,2/24,5/4
